year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
2075,ssp585,Southern Ocean,-12.96,-3.17,-4.09,5.63,5.4,"Year: 2075
Mean change: -3.2%
SD: ±5.4%"
2076,ssp126,Southern Ocean,-9.82,-2.63,-2.46,2.75,3.44,"Year: 2076
Mean change: -2.6%
SD: ±3.4%"
2076,ssp585,Southern Ocean,-13.42,-3.06,-2.5,8.43,6.57,"Year: 2076
Mean change: -3.1%
SD: ±6.6%"
2077,ssp126,Southern Ocean,-9.42,-3.16,-3.51,3.17,3.42,"Year: 2077
Mean change: -3.2%
SD: ±3.4%"
2077,ssp585,Southern Ocean,-13.87,-3.56,-3.73,5.02,5.92,"Year: 2077
Mean change: -3.6%
SD: ±5.9%"
2078,ssp126,Southern Ocean,-9.4,-4.18,-4.15,2.77,3.23,"Year: 2078
Mean change: -4.2%
SD: ±3.2%"
2078,ssp585,Southern Ocean,-14.32,-3.83,-4.35,4.98,5.58,"Year: 2078
Mean change: -3.8%
SD: ±5.6%"
2079,ssp126,Southern Ocean,-9.31,-3.59,-3.93,2.53,3.31,"Year: 2079
Mean change: -3.6%
SD: ±3.3%"
2079,ssp585,Southern Ocean,-14.59,-3.66,-4.26,3.58,5.66,"Year: 2079
Mean change: -3.7%
SD: ±5.7%"
2080,ssp126,Southern Ocean,-9.23,-3.09,-2.98,2.06,3.24,"Year: 2080
Mean change: -3.1%
SD: ±3.2%"
2080,ssp585,Southern Ocean,-14.45,-3.8,-4.84,4.92,5.96,"Year: 2080
Mean change: -3.8%
SD: ±6%"
2081,ssp126,Southern Ocean,-9.64,-3.8,-4.59,2.7,4.14,"Year: 2081
Mean change: -3.8%
SD: ±4.1%"
2081,ssp585,Southern Ocean,-14.15,-2.79,-3.44,7.09,6.89,"Year: 2081
Mean change: -2.8%
SD: ±6.9%"
2082,ssp126,Southern Ocean,-11.76,-5.09,-4.61,3.84,4.96,"Year: 2082
Mean change: -5.1%
SD: ±5%"
2082,ssp585,Southern Ocean,-14.01,-3.64,-4.98,6.46,6.71,"Year: 2082
Mean change: -3.6%
SD: ±6.7%"
2083,ssp126,Southern Ocean,-11.99,-5.45,-5.1,2.22,4.34,"Year: 2083
Mean change: -5.4%
SD: ±4.3%"
