year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1984,historical,KRZ,-23.06,-0.32,2.42,10.57,10.62,"Year: 1984
Mean change: -0.3%
SD: ±10.6%"
1984,historical,SOSS,-26.43,-0.42,-0.59,38.33,17.23,"Year: 1984
Mean change: -0.4%
SD: ±17.2%"
1984,historical,SRZ,-35.12,-7.62,-3.89,23.57,19.16,"Year: 1984
Mean change: -7.6%
SD: ±19.2%"
1985,historical,GPZi,-20.91,-4.88,-3.34,8.52,10.99,"Year: 1985
Mean change: -4.9%
SD: ±11%"
1985,historical,GPZii,-7.23,4.34,2.29,32.54,10.91,"Year: 1985
Mean change: 4.3%
SD: ±10.9%"
1985,historical,GPZiii,-44.13,-4.3,1.39,33.88,26.86,"Year: 1985
Mean change: -4.3%
SD: ±26.9%"
1985,historical,KRZ,-22.57,-4.26,-1.94,10.33,12.08,"Year: 1985
Mean change: -4.3%
SD: ±12.1%"
1985,historical,SOSS,-28.47,4.22,2.78,38.55,17.18,"Year: 1985
Mean change: 4.2%
SD: ±17.2%"
1985,historical,SRZ,-27,-8.7,-10.65,10.4,13.7,"Year: 1985
Mean change: -8.7%
SD: ±13.7%"
1986,historical,GPZi,-17.49,-2.65,-3.78,18.34,11.75,"Year: 1986
Mean change: -2.6%
SD: ±11.8%"
